"CTYNAME","pop2021","GrowthRate","popDensity"
"Denver County","749103","24.1554","1031.3392"
"El Paso County","737031","17.5430","1014.7189"
"Arapahoe County","666176","15.9077","917.1682"
"Jefferson County","589859","10.1412","812.0976"
"Adams County","529555","19.3522","729.0731"
"Larimer County","369377","22.9449","508.5455"
"Douglas County","367484","28.0535","505.9393"
"Weld County","343846","35.2622","473.3953"
"Boulder County","329316","11.6185","453.3909"
"Pueblo County","170428","6.9252","234.6394"
"Mesa County","156728","7.1579","215.7777"
"Broomfield County","72747","29.3832","100.1556"
"Garfield County","60781","8.3981","83.6812"
"La Plata County","56065","9.0525","77.1884"
"Eagle County","55495","6.5184","76.4036"
"Fremont County","47599","1.6269","65.5327"
"Montrose County","43862","6.4974","60.3877"
"Delta County","31718","2.7803","43.6683"
"Summit County","31399","11.8477","43.2291"
"Morgan County","29666","5.0459","40.8431"
"Elbert County","27581","19.1816","37.9726"
"Montezuma County","26245","2.6157","36.1332"
"Teller County","25938","10.5203","35.7105"
"Routt County","25900","10.5232","35.6582"
"Logan County","22691","-0.2593","31.2402"
"Chaffee County","20986","17.8459","28.8928"
"Park County","19485","19.6941","26.8263"
"Otero County","18158","-3.7171","24.9993"
"Gunnison County","18052","18.0564","24.8534"
"Pitkin County","17349","1.1368","23.8855"
"Alamosa County","16203","4.4344","22.3077"
"Grand County","16180","9.3539","22.2761"
"Archuleta County","14627","21.4262","20.1380"
"Las Animas County","14502","-5.9655","19.9659"
"Moffat County","13483","-2.2546","18.5629"
"Prowers County","12358","-1.4906","17.0141"
"Rio Grande County","11259","-6.3545","15.5010"
"Yuma County","10163","1.1344","13.9921"
"Clear Creek County","9892","8.9067","13.6190"
"Lake County","8689","19.6173","11.9627"
"Conejos County","8253","-0.7098","11.3624"
"San Miguel County","8177","11.1458","11.2578"
"Kit Carson County","6973","-15.6118","9.6002"
"Huerfano County","6917","3.5324","9.5231"
"Saguache County","6792","10.6910","9.3510"
"Gilpin County","6505","18.8997","8.9559"
"Rio Blanco County","6312","-4.6958","8.6901"
"Crowley County","6269","6.9613","8.6309"
"Lincoln County","5891","7.6768","8.1105"
"Custer County","5336","24.7020","7.3464"
"Ouray County","5212","16.9659","7.1757"
"Bent County","5115","-21.3077","7.0422"
"Washington County","4948","2.6343","6.8122"
"Phillips County","4225","-5.4598","5.8168"
"Costilla County","4037","14.3950","5.5580"
"Baca County","3575","-6.0940","4.9219"
"Sedgwick County","2192","-7.5496","3.0179"
"Dolores County","2045","-1.1600","2.8155"
"Cheyenne County","1775","-3.1642","2.4438"
"Kiowa County","1460","3.9886","2.0101"
"Jackson County","1386","-0.2160","1.9082"
"Hinsdale County","844","0","1.1620"
"Mineral County","763","8.3807","1.0505"
"San Juan County","656","-7.3446","0.9032"
