"CTYNAME","pop2021","GrowthRate","popDensity"
"Miami-Dade County","2721110","8.5418","2679.7521"
"Broward County","1966120","12.1702","1936.2371"
"Palm Beach County","1524560","15.1811","1501.3883"
"Hillsborough County","1512070","22.5837","1489.0882"
"Orange County","1417280","23.3963","1395.7389"
"Pinellas County","978872","6.8157","963.9942"
"Duval County","975961","12.7460","961.1275"
"Lee County","802791","29.3887","790.5894"
"Polk County","761137","26.2037","749.5685"
"Brevard County","615420","13.1360","606.0663"
"Pasco County","583661","25.3872","574.7900"
"Volusia County","567650","14.8066","559.0223"
"Seminole County","479234","13.2804","471.9502"
"Sarasota County","448568","18.0660","441.7503"
"Manatee County","420985","30.1650","414.5865"
"Collier County","398304","23.4741","392.2502"
"Osceola County","390341","44.6581","384.4082"
"Lake County","387914","30.2997","382.0181"
"Marion County","378613","14.2703","372.8585"
"St. Lucie County","344041","23.6383","338.8120"
"Escambia County","324740","8.9593","319.8043"
"Leon County","297432","7.7765","292.9114"
"St. Johns County","286388","49.7461","282.0352"
"Alachua County","269427","8.8093","265.3320"
"Clay County","225940","18.0145","222.5060"
"Okaloosa County","218346","20.8234","215.0274"
"Hernando County","200596","15.9722","197.5472"
"Charlotte County","197032","23.2413","194.0373"
"Santa Rosa County","194349","27.1019","191.3951"
"Indian River County","165395","19.6174","162.8812"
"Martin County","161516","9.9429","159.0611"
"Citrus County","153607","8.8076","151.2723"
"Bay County","151635","-10.3844","149.3303"
"Sumter County","139822","48.3082","137.6969"
"Flagler County","121073","26.0311","119.2328"
"Highlands County","108797","10.3026","107.1434"
"Nassau County","94003","27.8726","92.5743"
"Walton County","80749","46.2394","79.5217"
"Putnam County","75477","1.6936","74.3298"
"Columbia County","73722","9.1321","72.6015"
"Monroe County","73170","-0.0683","72.0579"
"Gadsden County","45126","-5.5823","44.4401"
"Suwannee County","44893","6.0598","44.2107"
"Hendry County","43394","11.2410","42.7345"
"Okeechobee County","43196","7.9225","42.5395"
"Jackson County","43018","-13.3540","42.3642"
"Levy County","42913","5.3856","42.2608"
"DeSoto County","39267","12.4034","38.6702"
"Wakulla County","36391","18.0568","35.8379"
"Baker County","30924","14.2540","30.4540"
"Bradford County","29099","1.9729","28.6567"
"Washington County","26833","8.5477","26.4252"
"Hardee County","26475","-4.5258","26.0726"
"Taylor County","21617","-4.3284","21.2884"
"Holmes County","19965","0.6148","19.6616"
"Gilchrist County","19178","12.8118","18.8865"
"Madison County","18399","-4.4108","18.1194"
"Dixie County","17108","4.3171","16.8480"
"Union County","15055","-3.1334","14.8262"
"Hamilton County","14760","0.5244","14.5357"
"Jefferson County","14096","-4.4663","13.8818"
"Glades County","14061","9.2626","13.8473"
"Calhoun County","13229","-9.6812","13.0279"
"Franklin County","13023","13.0273","12.8251"
"Gulf County","8625","-45.4976","8.4939"
"Liberty County","8208","-1.6888","8.0832"
"Lafayette County","7884","-10.4905","7.7642"
