"CTYNAME","pop2021","GrowthRate","popDensity"
"Fulton County","1091550","17.9248","4220.6734"
"Gwinnett County","954076","18.0777","3689.1056"
"Cobb County","768283","11.4269","2970.7037"
"DeKalb County","768079","10.9231","2969.9149"
"Clayton County","298374","14.8135","1153.7165"
"Chatham County","289958","9.0892","1121.1745"
"Cherokee County","268491","24.7652","1038.1685"
"Forsyth County","258770","46.4269","1000.5805"
"Henry County","244227","19.1125","944.3474"
"Hall County","210247","16.7825","812.9577"
"Richmond County","204220","1.5439","789.6532"
"Muscogee County","198969","4.1172","769.3492"
"Paulding County","177895","24.5441","687.8629"
"Houston County","162543","15.5648","628.5016"
"Columbia County","161988","29.6371","626.3556"
"Bibb County","153671","-1.3754","594.1964"
"Coweta County","153531","20.0052","593.6551"
"Douglas County","148981","12.3766","576.0617"
"Clarke County","130457","11.1190","504.4353"
"Carroll County","123982","12.0437","479.3986"
"Lowndes County","119600","9.0355","462.4548"
"Fayette County","116901","9.3166","452.0186"
"Newton County","116390","16.2354","450.0428"
"Bartow County","110458","10.4028","427.1056"
"Whitfield County","105386","2.5704","407.4938"
"Floyd County","99566","3.2510","384.9898"
"Walton County","97375","15.9337","376.5179"
"Rockdale County","91678","7.4091","354.4894"
"Barrow County","88052","26.3735","340.4688"
"Glynn County","85926","7.7523","332.2483"
"Dougherty County","85468","-9.5701","330.4773"
"Bulloch County","84340","19.5312","326.1157"
"Jackson County","78281","28.9723","302.6875"
"Walker County","70397","2.2172","272.2026"
"Troup County","69610","3.8119","269.1595"
"Effingham County","68432","30.4361","264.6046"
"Catoosa County","67980","6.1044","262.8568"
"Spalding County","67895","5.9270","262.5282"
"Liberty County","63093","0.5226","243.9604"
"Gordon County","58633","6.1096","226.7150"
"Camden County","56696","11.9125","219.2252"
"Laurens County","47966","-0.8639","185.4691"
"Colquitt County","45890","0.5610","177.4419"
"Habersham County","45238","5.0556","174.9208"
"Baldwin County","44884","-1.7942","173.5520"
"Thomas County","44685","-0.1386","172.7826"
"Coffee County","43709","2.2959","169.0087"
"Polk County","43147","3.8511","166.8356"
"Bryan County","42763","40.7743","165.3508"
"Oconee County","41884","27.2103","161.9520"
"Tift County","40848","1.4832","157.9461"
"Murray County","40402","2.1982","156.2216"
"Harris County","36588","13.8076","141.4741"
"Ware County","36028","-0.7712","139.3087"
"Lumpkin County","35032","15.6859","135.4575"
"Pickens County","33745","14.6385","130.4811"
"Gilmer County","32437","14.4606","125.4235"
"White County","32418","19.1707","125.3500"
"Lee County","30474","7.2499","117.8332"
"Madison County","30356","7.5996","117.3769"
"Haralson County","30254","5.2020","116.9825"
"Wayne County","30161","0.2893","116.6229"
"Sumter County","28980","-11.3328","112.0564"
"Jones County","28845","0.6947","111.5344"
"Dawson County","28070","25.7166","108.5377"
"Peach County","27912","0.1974","107.9267"
"Monroe County","27728","5.9170","107.2153"
"Toombs County","26686","-2.0482","103.1862"
"Fannin County","26602","12.3158","102.8614"
"Upson County","26590","-1.7151","102.8150"
"Hart County","26473","4.8851","102.3626"
"Butts County","26424","11.0906","102.1731"
"Decatur County","26066","-6.2947","100.7889"
"Stephens County","25761","-1.3631","99.6095"
"Union County","25723","20.3697","99.4626"
"Tattnall County","24888","-2.3042","96.2339"
"Chattooga County","24803","-4.4532","95.9052"
"Grady County","24351","-2.6778","94.1575"
"Franklin County","23979","8.6301","92.7191"
"Emanuel County","22724","0.5175","87.8664"
"Putnam County","22717","7.2012","87.8393"
"Burke County","22271","-4.5638","86.1148"
"Crisp County","21882","-6.6189","84.6107"
"Mitchell County","21319","-9.2886","82.4337"
"Meriwether County","21313","-2.3146","82.4105"
"McDuffie County","20872","-4.2701","80.7053"
