"CTYNAME","pop2021","GrowthRate","popDensity"
"Polk County","498817","15.3729","879.3788"
"Linn County","228592","7.9767","402.9914"
"Scott County","173223","4.8109","305.3798"
"Johnson County","152322","15.9780","268.5328"
"Black Hawk County","130238","-0.7045","229.6003"
"Woodbury County","104291","1.8586","183.8576"
"Dallas County","100453","50.4914","177.0915"
"Dubuque County","98089","4.4289","172.9239"
"Story County","97789","9.0738","172.3950"
"Pottawattamie County","93090","-0.2924","164.1110"
"Warren County","52370","13.0125","92.3246"
"Clinton County","46413","-5.4648","81.8228"
"Muscatine County","42244","-1.3060","74.4732"
"Cerro Gordo County","42066","-4.6058","74.1594"
"Des Moines County","38603","-4.0705","68.0543"
"Marshall County","38331","-5.8715","67.5748"
"Jasper County","37177","0.9915","65.5404"
"Webster County","35034","-7.5108","61.7624"
"Sioux County","34961","3.5759","61.6337"
"Wapello County","34925","-2.1215","61.5703"
"Marion County","33241","0.0482","58.6015"
"Lee County","33153","-7.5204","58.4464"
"Boone County","26078","-0.7347","45.9737"
"Benton County","25685","-1.3860","45.2808"
"Plymouth County","25483","2.0340","44.9247"
"Bremer County","25304","4.1531","44.6091"
"Mahaska County","22249","-0.7096","39.2234"
"Washington County","21779","0.4196","38.3948"
"Buchanan County","21169","0.9297","37.3194"
"Jones County","20697","0.0387","36.4873"
"Carroll County","20189","-3.0494","35.5918"
"Winneshiek County","19939","-5.3948","35.1510"
"Henry County","19796","-1.5418","34.8989"
"Fayette County","19592","-6.0786","34.5393"
"Jackson County","19463","-1.8507","34.3119"
"Buena Vista County","19208","-5.6396","33.8623"
"Cedar County","18753","1.6423","33.0602"
"Poweshiek County","18578","-1.8336","32.7517"
"Jefferson County","18373","9.1228","32.3903"
"Clayton County","17567","-2.8374","30.9694"
"Dickinson County","17532","5.1710","30.9077"
"Delaware County","16871","-5.0270","29.7424"
"Tama County","16824","-5.0511","29.6595"
"Hardin County","16664","-5.0105","29.3774"
"Madison County","16602","5.4832","29.2681"
"Crawford County","16282","-5.1718","28.7040"
"Iowa County","16242","-0.5693","28.6335"
"Clay County","15836","-4.7974","27.9177"
"Floyd County","15422","-5.4387","27.1879"
"Mills County","15191","0.7628","26.7806"
"Page County","14863","-6.6453","26.2024"
"Kossuth County","14683","-5.4235","25.8851"
"Hamilton County","14547","-6.9468","25.6453"
"Butler County","14267","-4.3510","25.1517"
"Harrison County","13937","-6.5196","24.5699"
"O'Brien County","13663","-5.1707","24.0869"
"Allamakee County","13357","-7.1011","23.5474"
"Cass County","12612","-9.4486","22.2341"
"Appanoose County","12476","-2.9558","21.9943"
"Wright County","12306","-6.6667","21.6946"
"Grundy County","12152","-2.4954","21.4231"
"Union County","12127","-3.0848","21.3790"
"Chickasaw County","11895","-4.1499","20.9700"
"Lyon County","11635","0.5879","20.5117"
"Shelby County","11244","-7.6392","19.8224"
"Cherokee County","11115","-8.2164","19.5950"
"Louisa County","10799","-5.1221","19.0379"
"Guthrie County","10627","-2.8344","18.7346"
"Mitchell County","10616","-1.6400","18.7153"
"Hancock County","10470","-7.3205","18.4579"
"Keokuk County","10312","-1.8652","18.1793"
"Franklin County","10040","-6.2208","17.6998"
"Winnebago County","9984","-7.9476","17.6011"
"Montgomery County","9829","-8.0543","17.3278"
"Sac County","9753","-5.8045","17.1938"
"Calhoun County","9582","-5.6890","16.8924"
"Humboldt County","9556","-2.4101","16.8465"
"Clarke County","9181","-1.4914","16.1854"
"Howard County","9130","-4.5778","16.0955"
"Emmet County","9070","-11.7361","15.9898"
"Davis County","9056","3.1905","15.9651"
"Palo Alto County","8852","-5.8097","15.6054"
"Greene County","8734","-6.7080","15.3974"
"Lucas County","8566","-3.7312","15.1012"
"Monona County","8527","-7.7963","15.0325"
"Decatur County","7830","-6.9850","13.8037"
"Monroe County","7585","-5.1519","13.3718"
"Worth County","7317","-3.5078","12.8993"
"Adair County","7308","-4.8314","12.8835"
"Van Buren County","7106","-6.2162","12.5274"
"Fremont County","6918","-6.9411","12.1959"
"Ida County","6888","-2.5191","12.1431"
"Wayne County","6513","1.4644","11.4820"
"Pocahontas County","6429","-11.7986","11.3339"
"Taylor County","6043","-4.4132","10.6534"
"Osceola County","5818","-9.9241","10.2567"
"Audubon County","5546","-9.0521","9.7772"
"Ringgold County","4802","-6.0825","8.4656"
"Adams County","3518","-12.5528","6.2020"
