"CTYNAME","pop2021","GrowthRate","popDensity"
"Ada County","507233","28.9508","267.0717"
"Canyon County","243075","28.3754","127.9855"
"Kootenai County","174673","25.8016","91.9700"
"Bonneville County","124298","18.7466","65.4462"
"Bannock County","90076","8.4992","47.4274"
"Twin Falls County","88576","14.2253","46.6376"
"Bingham County","48175","5.2660","25.3654"
"Bonner County","47807","16.8818","25.1717"
"Madison County","41199","9.5951","21.6924"
"Nez Perce County","40712","3.5534","21.4360"
"Latah County","40666","9.1558","21.4117"
"Jefferson County","30803","17.4656","16.2186"
"Elmore County","27809","2.5368","14.6422"
"Jerome County","25104","11.8617","13.2179"
"Payette County","24839","9.7274","13.0784"
"Cassia County","24508","6.1872","12.9041"
"Blaine County","23521","10.4532","12.3844"
"Minidoka County","21679","7.9470","11.4146"
"Gem County","19162","14.8319","10.0893"
"Idaho County","17049","4.5310","8.9768"
"Gooding County","15305","-1.0730","8.0585"
"Franklin County","14220","11.2589","7.4872"
"Teton County","13124","29.2878","6.9101"
"Shoshone County","13066","2.4865","6.8796"
"Fremont County","12987","-1.7996","6.8380"
"Boundary County","12703","15.4923","6.6885"
"Valley County","12134","23.9681","6.3889"
"Owyhee County","12131","5.7352","6.3873"
"Washington County","10352","1.7196","5.4506"
"Benewah County","9458","1.8084","4.9799"
"Clearwater County","8752","0.2865","4.6082"
"Lemhi County","8217","3.3195","4.3265"
"Boise County","8183","16.8166","4.3086"
"Power County","7643","-2.9090","4.0242"
"Caribou County","7391","5.9794","3.8916"
"Bear Lake County","6287","5.3275","3.3103"
"Lincoln County","5302","1.8440","2.7916"
"Oneida County","4669","8.8345","2.4584"
"Custer County","4445","2.0197","2.3404"
"Adams County","4414","11.4084","2.3241"
"Lewis County","3850","0.7853","2.0271"
"Butte County","2617","-10.2230","1.3779"
"Camas County","1076","-3.5842","0.5665"
"Clark County","833","-15.0000","0.4386"
