"CTYNAME","pop2021","GrowthRate","popDensity"
"Cook County","5106780","-1.7742","21682.8938"
"DuPage County","914269","-0.4046","3881.8977"
"Lake County","690431","-1.9511","2931.5032"
"Will County","689931","1.6362","2929.3803"
"Kane County","531769","3.0424","2257.8397"
"McHenry County","306820","-0.7415","1302.7280"
"Winnebago County","280456","-4.9569","1190.7890"
"Madison County","260846","-3.1428","1107.5269"
"St. Clair County","256338","-5.1840","1088.3863"
"Champaign County","209231","3.8130","888.3746"
"Sangamon County","192738","-2.5439","818.3469"
"Peoria County","176297","-5.3297","748.5400"
"McLean County","169731","-0.0465","720.6614"
"Rock Island County","140395","-4.8879","596.1036"
"Kendall County","131536","14.0093","558.4891"
"Tazewell County","130509","-3.6734","554.1286"
"Kankakee County","109680","-3.2958","465.6907"
"LaSalle County","107689","-5.3891","457.2371"
"DeKalb County","105993","0.8065","450.0360"
"Macon County","103019","-7.0117","437.4087"
"Vermilion County","73870","-9.5174","313.6449"
"Williamson County","65827","-0.9107","279.4951"
"Adams County","65059","-3.1284","276.2342"
"Jackson County","55672","-7.7866","236.3779"
"Whiteside County","54419","-6.9538","231.0578"
"Boone County","53672","-0.7930","227.8861"
"Grundy County","51216","2.1175","217.4582"
"Ogle County","50367","-5.7045","213.8534"
"Coles County","50205","-6.7965","213.1656"
"Knox County","49141","-7.1269","208.6479"
"Henry County","48601","-3.6688","206.3551"
"Macoupin County","44142","-7.6469","187.4227"
"Stephenson County","43900","-7.7847","186.3952"
"Woodford County","38323","-0.8743","162.7158"
"Franklin County","38017","-5.0406","161.4165"
"Jefferson County","37636","-2.8874","159.7988"
"Clinton County","37292","-1.4560","158.3382"
"Marion County","36853","-6.5024","156.4743"
"Livingston County","35516","-8.5911","150.7975"
"Monroe County","35165","6.5800","149.3072"
"Lee County","33696","-6.3558","143.0700"
"Effingham County","33662","-1.6421","142.9256"
"Fulton County","33360","-10.0227","141.6433"
"Morgan County","32920","-7.2754","139.7751"
"Bureau County","31966","-8.5615","135.7245"
"Christian County","31606","-9.0815","134.1960"
"Randolph County","30992","-7.3870","131.5890"
"McDonough County","29078","-10.8966","123.4624"
"Logan County","28030","-7.4398","119.0127"
"Montgomery County","27860","-7.4326","118.2909"
"Iroquois County","26374","-11.2016","111.9815"
"Saline County","22895","-8.0596","97.2100"
"Jersey County","21729","-5.5055","92.2592"
"Shelby County","21450","-4.0440","91.0746"
"Fayette County","21272","-3.8814","90.3189"
"Jo Daviess County","21043","-7.0867","89.3465"
"Perry County","20460","-8.3128","86.8712"
"Douglas County","19479","-2.5221","82.7059"
"Crawford County","18341","-7.3734","77.8741"
"Hancock County","17468","-8.5014","74.1674"
"Edgar County","16763","-9.4284","71.1741"
"Warren County","16548","-6.5771","70.2612"
"Piatt County","16300","-2.4478","69.2082"
"Union County","16295","-8.0988","69.1870"
"Bond County","16004","-10.0242","67.9514"
"Wayne County","15993","-4.4509","67.9047"
"Pike County","15493","-5.4959","65.7818"
"Lawrence County","15408","-9.0437","65.4209"
"De Witt County","15326","-7.6190","65.0727"
"Mercer County","15209","-7.3131","64.5759"
"Richland County","15149","-6.4530","64.3212"
"Clark County","15123","-7.1696","64.2108"
"Carroll County","14287","-7.1911","60.6612"
"Moultrie County","14207","-4.3879","60.3215"
"Washington County","13663","-7.1302","58.0118"
"White County","13375","-8.3716","56.7890"
"Massac County","13270","-13.7191","56.3431"
"Clay County","13020","-5.8296","55.2817"
"Mason County","13011","-11.1938","55.2434"
"Greene County","12777","-8.0130","54.2499"
"Ford County","12459","-11.5191","52.8997"
"Johnson County","12405","-1.5789","52.6704"
"Menard County","12010","-5.4033","50.9933"
"Cass County","11817","-13.3206","50.1738"
"Wabash County","11514","-3.3736","48.8873"
"Marshall County","11348","-10.2002","48.1825"
"Cumberland County","10690","-3.2842","45.3887"
"Jasper County","9582","-1.4704","40.6842"
"Hamilton County","8052","-4.6649","34.1880"
"Brown County","6608","-4.4949","28.0569"
"Schuyler County","6564","-12.8865","27.8701"
"Henderson County","6544","-10.8811","27.7852"
"Edwards County","6411","-4.7966","27.2205"
"Putnam County","5745","-4.4411","24.3927"
"Alexander County","5201","-36.6195","22.0829"
"Stark County","5190","-13.0508","22.0362"
"Pulaski County","5137","-16.1443","21.8112"
"Scott County","4999","-6.1573","21.2253"
"Calhoun County","4559","-10.5377","19.3571"
"Gallatin County","4394","-21.1556","18.6565"
"Pope County","4163","-6.9513","17.6757"
"Hardin County","3677","-14.8646","15.6122"
