"CTYNAME","pop2021","GrowthRate","popDensity"
"Marion County","976346","7.9323","2273.2744"
"Lake County","487599","-1.6832","1135.3007"
"Allen County","387739","8.9323","902.7918"
"Hamilton County","353411","27.8191","822.8642"
"St. Joseph County","273534","2.5251","636.8827"
"Elkhart County","207789","5.2357","483.8053"
"Tippecanoe County","199562","15.2845","464.6500"
"Vanderburgh County","182113","1.2628","424.0227"
"Hendricks County","177117","21.3512","412.3902"
"Porter County","172191","4.6837","400.9208"
"Johnson County","162315","15.7169","377.9260"
"Monroe County","150833","8.8528","351.1919"
"Madison County","129561","-1.5636","301.6632"
"Clark County","120346","8.8444","280.2075"
"Delaware County","113811","-3.2754","264.9917"
"LaPorte County","109702","-1.5764","255.4246"
"Vigo County","106380","-1.3977","247.6898"
"Bartholomew County","85893","11.8136","199.9889"
"Howard County","83118","0.4423","193.5277"
"Hancock County","81548","16.0875","189.8722"
"Floyd County","79898","6.9456","186.0304"
"Kosciusko County","79536","2.8394","185.1876"
"Morgan County","71193","2.9723","165.7622"
"Boone County","69669","22.4067","162.2138"
"Wayne County","65560","-4.8324","152.6466"
"Grant County","65229","-6.6864","151.8759"
"Warrick County","64046","7.0305","149.1215"
"Dearborn County","49410","-1.3438","115.0437"
"Noble County","48146","1.4583","112.1007"
"Henry County","47654","-3.7876","110.9552"
"Marshall County","46182","-1.7404","107.5278"
"Shelby County","45143","1.9098","105.1087"
"Lawrence County","44850","-2.7157","104.4265"
"Jackson County","44557","4.6283","103.7443"
"DeKalb County","44009","3.9517","102.4683"
"Dubois County","42860","2.2790","99.7930"
"Harrison County","41117","4.5436","95.7347"
"LaGrange County","40092","7.8931","93.3482"
"Montgomery County","38466","0.9659","89.5623"
"Putnam County","37756","-0.4036","87.9092"
"Cass County","37277","-4.3812","86.7939"
"Huntington County","37074","-0.1158","86.3212"
"Knox County","36590","-4.6912","85.1943"
"Adams County","36141","4.9268","84.1489"
"Miami County","35256","-4.2217","82.0883"
"Steuben County","34808","2.0493","81.0452"
"Jasper County","33956","1.3733","79.0614"
"Whitley County","33798","1.3342","78.6935"
"Gibson County","33757","0.6320","78.5981"
"Daviess County","33497","5.6021","77.9927"
"Clinton County","32813","-1.2281","76.4001"
"Jefferson County","32610","0.6637","75.9275"
"Greene County","31648","-4.6948","73.6876"
"Wabash County","30592","-6.8680","71.2289"
"Wells County","28722","3.7570","66.8748"
"Washington County","28244","-0.1697","65.7619"
"Ripley County","28072","-2.5785","65.3614"
"Jennings County","27847","-2.2260","64.8375"
"Clay County","26325","-1.9699","61.2938"
"Decatur County","26227","1.6629","61.0656"
"Posey County","25173","-2.6604","58.6115"
"Randolph County","24383","-6.8569","56.7721"
"Scott County","24051","-0.4965","55.9991"
"White County","24040","-2.6050","55.9735"
"Fayette County","23154","-4.8140","53.9106"
"Starke County","23083","-1.1223","53.7453"
"Franklin County","22862","-0.8543","53.2307"
"Owen County","20673","-4.1408","48.1340"
"Sullivan County","20615","-3.6232","47.9989"
"Carroll County","20395","0.9703","47.4867"
"Spencer County","20061","-4.0832","46.7090"
"Jay County","19854","-6.2562","46.2270"
"Orange County","19842","0.1413","46.1991"
"Fulton County","19816","-4.8086","46.1386"
"Perry County","19353","-0.2885","45.0605"
"Parke County","16855","-2.4313","39.2443"
"Rush County","16473","-5.2405","38.3549"
"Fountain County","16258","-5.8926","37.8543"
"Vermillion County","15474","-3.9836","36.0289"
"Tipton County","15220","-4.1441","35.4375"
"Brown County","14816","-2.5712","34.4968"
"Newton County","13980","-1.7776","32.5503"
"Pike County","12391","-2.5865","28.8506"
"Pulaski County","12075","-9.3673","28.1148"
"Blackford County","11426","-10.5317","26.6037"
"Switzerland County","10791","0.6905","25.1252"
"Crawford County","10543","-1.5409","24.5478"
"Martin County","10327","-0.3089","24.0449"
"Benton County","8938","0.8462","20.8108"
"Warren County","8235","-3.3564","19.1740"
"Union County","7104","-5.7450","16.5406"
"Ohio County","5867","-3.5984","13.6604"
