"CTYNAME","pop2021","GrowthRate","popDensity"
"Jefferson County","764069","2.9668","3097.6729"
"Fayette County","324604","9.3502","1316.0029"
"Kenton County","168410","5.2819","682.7644"
"Warren County","137188","19.9815","556.1848"
"Boone County","136941","14.7169","555.1834"
"Hardin County","112316","5.0173","455.3492"
"Daviess County","102767","6.2696","416.6359"
"Madison County","94747","13.5130","384.1213"
"Campbell County","93824","3.5322","380.3793"
"Bullitt County","83010","11.4228","336.5374"
"Christian County","69959","-5.6266","283.6263"
"Oldham County","67373","11.4764","273.1422"
"Pulaski County","65769","4.0813","266.6393"
"McCracken County","65640","0.1908","266.1163"
"Laurel County","61119","3.5950","247.7874"
"Scott County","59076","24.9651","239.5047"
"Pike County","56644","-12.9545","229.6449"
"Jessamine County","54831","12.6310","222.2947"
"Franklin County","51371","4.3002","208.2673"
"Shelby County","50954","20.7756","206.5767"
"Nelson County","47073","7.8938","190.8424"
"Boyd County","45570","-8.1287","184.7490"
"Henderson County","44606","-3.5754","180.8407"
"Barren County","44517","5.7009","180.4799"
"Hopkins County","44010","-6.0439","178.4244"
"Calloway County","39075","4.6241","158.4171"
"Graves County","37160","-0.2737","150.6533"
"Whitley County","36590","2.4413","148.3424"
"Clark County","36429","2.3200","147.6897"
"Floyd County","34975","-12.4092","141.7949"
"Greenup County","34630","-6.1136","140.3962"
"Marshall County","30896","-1.7646","125.2579"
"Knox County","30835","-3.1899","125.0106"
"Muhlenberg County","30244","-4.4635","122.6146"
"Boyle County","30016","4.6802","121.6903"
"Meade County","28470","-0.8498","115.4225"
"Montgomery County","28253","6.4183","114.5427"
"Logan County","27340","1.8212","110.8413"
"Woodford County","27220","8.7061","110.3548"
"Grayson County","26695","3.5252","108.2263"
"Carter County","26311","-5.1719","106.6695"
"Taylor County","26279","6.5091","106.5398"
"Harlan County","25412","-13.0381","103.0248"
"Bell County","25122","-12.4943","101.8491"
"Grant County","25077","1.6209","101.6667"
"Perry County","24858","-13.2931","100.7788"
"Lincoln County","24423","-1.2174","99.0152"
"Rowan County","24374","4.2693","98.8166"
"Ohio County","23854","0.0839","96.7084"
"Anderson County","22959","6.9353","93.0799"
"Mercer County","22395","5.1014","90.7933"
"Johnson County","21782","-6.8548","88.3081"
"Allen County","21701","8.3046","87.9797"
"Letcher County","21033","-14.2700","85.2716"
"Breckinridge County","20813","3.8417","84.3796"
"Wayne County","20139","-3.4101","81.6471"
"Spencer County","20011","16.3363","81.1282"
"Clay County","19527","-9.8476","79.1660"
"Hart County","19301","6.1194","78.2497"
"Adair County","19208","2.4044","77.8727"
"Marion County","19167","-3.3921","77.7065"
"Bourbon County","19132","-4.1723","77.5646"
"Harrison County","19098","1.5311","77.4267"
"Simpson County","18910","9.0794","76.6645"
"Russell County","18189","3.5054","73.7415"
"Garrard County","17960","6.0150","72.8131"
"McCreary County","17113","-6.6292","69.3792"
"Mason County","17050","-2.5993","69.1238"
"Casey County","16625","4.0103","67.4007"
"Rockcastle County","16439","-3.7586","66.6467"
"Henry County","16256","5.7232","65.9047"
"Lawrence County","14785","-6.8133","59.9410"
"Fleming County","14773","2.5903","59.8924"
"Trigg County","14637","2.1994","59.3410"
"Larue County","14596","3.0136","59.1748"
"Pendleton County","14594","-2.1522","59.1667"
"Knott County","14266","-12.7729","57.8369"
"Union County","14201","-7.0372","57.5734"
"Estill County","14018","-4.7237","56.8315"
"Lewis County","13289","-3.9604","53.8760"
"Morgan County","13183","-3.9560","53.4462"
"Jackson County","13181","-2.2181","53.4381"
"Butler County","13151","3.2666","53.3165"
"Caldwell County","12809","-1.5450","51.9300"
"Webster County","12724","-6.2965","51.5854"
"Bath County","12612","8.5557","51.1313"
"Powell County","12335","-2.4361","50.0083"
"Breathitt County","12316","-11.1207","49.9313"
"Todd County","12270","-1.3031","49.7448"
"Washington County","12239","4.6516","49.6191"
"Edmonson County","11952","-2.2571","48.4556"
"Magoffin County","11837","-11.0401","47.9893"
"Owen County","10941","0.8387","44.3568"
"Martin County","10935","-15.1997","44.3325"
"Green County","10827","-3.5886","43.8946"
"Monroe County","10486","-4.4120","42.5121"
"Carroll County","10469","-3.1186","42.4432"
"Clinton County","10350","1.0348","41.9608"
"Metcalfe County","10073","-0.7293","40.8378"
"Leslie County","9329","-17.2814","37.8214"
"McLean County","9105","-4.3090","36.9133"
"Livingston County","9094","-4.4748","36.8687"
"Gallatin County","9075","5.3762","36.7917"
"Hancock County","8690","1.6255","35.2308"
"Crittenden County","8626","-7.2174","34.9714"
"Trimble County","8477","-3.8016","34.3673"
"Bracken County","8353","-1.8795","33.8646"
"Lyon County","8288","-0.4923","33.6010"
"Lee County","8105","5.0279","32.8591"
"Ballard County","7680","-7.0218","31.1361"
"Elliott County","7553","-3.6976","30.6212"
"Nicholas County","7417","4.0544","30.0698"
"Wolfe County","7073","-3.9125","28.6752"
"Menifee County","6593","3.4845","26.7292"
"Cumberland County","6456","-5.9441","26.1738"
"Fulton County","5775","-15.1609","23.4129"
"Carlisle County","4802","-5.5282","19.4682"
"Owsley County","4297","-9.4987","17.4208"
"Hickman County","4278","-11.9753","17.3438"
"Robertson County","2064","-9.2747","8.3678"
