"CTYNAME","pop2021","GrowthRate","popDensity"
"East Baton Rouge Parish","436061","-1.1002","376.7780"
"Jefferson Parish","429711","-0.6701","371.2913"
"Orleans Parish","388424","11.6893","335.6173"
"St. Tammany Parish","265187","13.0649","229.1345"
"Lafayette Parish","246944","11.0784","213.3717"
"Caddo Parish","234946","-8.0770","203.0048"
"Calcasieu Parish","203954","5.6614","176.2262"
"Ouachita Parish","150695","-2.1264","130.2078"
"Livingston Parish","143579","11.8765","124.0593"
"Tangipahoa Parish","136600","12.4419","118.0291"
"Ascension Parish","130096","20.5821","112.4093"
"Rapides Parish","128292","-2.6321","110.8505"
"Bossier Parish","127073","7.9864","109.7973"
"Terrebonne Parish","109057","-2.1963","94.2306"
"Lafourche Parish","96880","0.1395","83.7090"
"St. Landry Parish","80808","-3.2182","69.8221"
"Iberia Parish","67680","-7.4284","58.4788"
"Acadia Parish","61707","-0.2747","53.3179"
"Vermilion Parish","58761","1.1638","50.7724"
"St. Charles Parish","53750","1.7645","46.4426"
"St. Martin Parish","53169","1.8095","45.9406"
"St. Mary Parish","48362","-11.3437","41.7871"
"St. Bernard Parish","48172","30.8169","41.6230"
"Vernon Parish","46085","-12.6218","39.8197"
"Lincoln Parish","46002","-1.8100","39.7480"
"Washington Parish","45406","-3.5741","39.2330"
"St. John the Baptist Parish","42273","-7.2778","36.5259"
"Avoyelles Parish","39628","-5.8851","34.2405"
"Beauregard Parish","37753","5.3641","32.6204"
"Webster Parish","37436","-9.1337","32.3465"
"Natchitoches Parish","37242","-5.7832","32.1789"
"Evangeline Parish","33193","-2.2470","28.6804"
"Iberville Parish","32147","-3.7169","27.7766"
"Jefferson Davis Parish","31030","-1.9031","26.8114"
"De Soto Parish","27537","3.2508","23.7933"
"West Baton Rouge Parish","26595","11.0392","22.9794"
"Allen Parish","25747","0.1751","22.2467"
"Morehouse Parish","23974","-13.9884","20.7147"
"Sabine Parish","23850","-1.5521","20.6076"
"Plaquemines Parish","22821","-1.2804","19.7185"
"Grant Parish","22295","-0.1836","19.2640"
"Union Parish","21838","-4.3577","18.8691"
"Pointe Coupee Parish","21432","-6.0947","18.5183"
"Assumption Parish","21115","-9.5059","18.2444"
"St. James Parish","20986","-4.8168","18.1329"
"Richland Parish","19920","-4.0278","17.2119"
"Franklin Parish","19717","-5.2523","17.0364"
"East Feliciana Parish","18833","-6.5684","16.2726"
"Concordia Parish","18605","-10.7203","16.0756"
"West Feliciana Parish","15720","0.5051","13.5828"
"Jackson Parish","15408","-5.5130","13.3133"
"Claiborne Parish","15220","-11.3828","13.1508"
"LaSalle Parish","14874","-0.2281","12.8519"
"Winn Parish","13436","-12.2002","11.6094"
"Bienville Parish","13037","-8.8704","11.2646"
"West Carroll Parish","10536","-8.9841","9.1036"
"Madison Parish","10461","-13.5883","9.0388"
"St. Helena Parish","10022","-10.4939","8.6595"
"Caldwell Parish","9826","-3.1730","8.4901"
"Catahoula Parish","9270","-10.6678","8.0097"
"Red River Parish","8274","-9.0669","7.1491"
"Cameron Parish","6893","-0.3470","5.9559"
"East Carroll Parish","6595","-14.7602","5.6984"
"Tensas Parish","4062","-22.3178","3.5098"
