"CTYNAME","pop2021","GrowthRate","popDensity"
"Cumberland County","297663","5.7515","652.9958"
"York County","211185","7.0869","463.2854"
"Penobscot County","152810","-0.6831","335.2257"
"Kennebec County","122818","0.6078","269.4310"
"Androscoggin County","109003","1.2023","239.1244"
"Aroostook County","66529","-7.2107","145.9475"
"Oxford County","58417","1.1042","128.1518"
"Hancock County","55493","2.1030","121.7373"
"Somerset County","50474","-3.3361","110.7269"
"Knox County","39882","0.3826","87.4908"
"Waldo County","39831","2.6096","87.3789"
"Sagadahoc County","36188","2.7251","79.3871"
"Lincoln County","35104","2.0910","77.0091"
"Washington County","31495","-4.0576","69.0919"
"Franklin County","30767","0.1563","67.4949"
"Piscataquis County","16863","-3.9145","36.9931"
