"CTYNAME","pop2021","GrowthRate","popDensity"
"St. Louis County","992177","-0.6671","1428.2724"
"Jackson County","707465","4.8337","1018.4198"
"St. Charles County","408506","12.9084","588.0582"
"Greene County","297150","7.9333","427.7575"
"St. Louis City","294890","-7.6553","424.5041"
"Clay County","257124","15.4835","370.1387"
"Jefferson County","226423","3.3291","325.9436"
"Boone County","183267","12.2939","263.8191"
"Jasper County","123074","4.6050","177.1692"
"Cass County","107802","8.0678","155.1846"
"Platte County","107726","20.0932","155.0752"
"Franklin County","104469","2.9982","150.3867"
"Christian County","91697","17.8004","132.0009"
"Buchanan County","85766","-3.7116","123.4631"
"Cape Girardeau County","79337","4.5297","114.2083"
"Cole County","76795","0.8470","110.5490"
"St. Francois County","68171","4.0318","98.1345"
"Lincoln County","61813","17.3501","88.9819"
"Newton County","58392","0.3696","84.0573"
"Taney County","56346","8.5623","81.1120"
"Johnson County","54944","4.2858","79.0937"
"Pulaski County","53827","1.8313","77.4858"
"Camden County","47089","6.8311","67.7862"
"Phelps County","44617","-1.4947","64.2277"
"Callaway County","44321","0.0248","63.8016"
"Butler County","42260","-1.2294","60.8347"
"Pettis County","42135","-0.3288","60.6548"
"Webster County","40418","11.2830","58.1831"
"Howell County","40099","-1.1171","57.7239"
"Lawrence County","38537","-0.1399","55.4753"
"Scott County","37758","-3.8282","54.3539"
"Warren County","37415","14.7523","53.8602"
"Laclede County","35977","0.7759","51.7901"
"Barry County","35943","1.0913","51.7412"
"Lafayette County","33040","-1.0215","47.5622"
"Stone County","32454","0.6794","46.7186"
"Polk County","32019","2.7666","46.0924"
"Stoddard County","28547","-4.9289","41.0944"
"Marion County","28510","-0.9622","41.0411"
"Dunklin County","28437","-10.9953","40.9360"
"Miller County","26227","6.1134","37.7547"
"Audrain County","25318","-0.5304","36.4461"
"Texas County","25182","-3.3024","36.2503"
"Adair County","25077","-2.1385","36.0992"
"Randolph County","24780","-2.6632","35.6716"
"Washington County","24324","-3.4800","35.0152"
"Crawford County","23824","-3.2724","34.2955"
"Ray County","23164","-1.5010","33.3454"
"McDonald County","22585","-2.1108","32.5119"
"Saline County","22503","-3.9155","32.3938"
"Henry County","21856","-1.8326","31.4625"
"Nodaway County","21830","-6.7134","31.4250"
"Morgan County","21053","2.4826","30.3065"
"Vernon County","20705","-2.1457","29.8055"
"Clinton County","20291","-2.1649","29.2096"
"Benton County","19735","3.3463","28.4092"
"Perry County","18860","-0.4119","27.1496"
"Wright County","18493","-1.5230","26.6213"
"Ste. Genevieve County","17928","-1.0978","25.8080"
"Pike County","17902","-3.1067","25.7705"
"Cooper County","17875","1.5452","25.7317"
"Andrew County","17812","2.6983","25.6410"
"Dallas County","17070","2.0811","24.5728"
"New Madrid County","16684","-11.8834","24.0172"
"Moniteau County","16024","2.5470","23.0671"
"Bates County","15908","-6.5774","22.9001"
"Dent County","15625","-0.7306","22.4927"
"Livingston County","15319","1.2626","22.0522"
"Macon County","15017","-3.6940","21.6175"
"Pemiscot County","14903","-18.3889","21.4534"
"Cedar County","14775","5.7699","21.2691"
"Gasconade County","14758","-2.9207","21.2446"
"Osage County","13541","-2.6178","19.4927"
"Ripley County","13024","-7.6443","18.7485"
"Douglas County","12837","-5.9629","18.4793"
"Mississippi County","12752","-11.0119","18.3569"
"DeKalb County","12611","-2.2024","18.1540"
"Wayne County","12355","-8.6101","17.7854"
"Bollinger County","12021","-2.6009","17.3046"
"Madison County","11888","-2.5334","17.1132"
"Linn County","11682","-8.5486","16.8166"
"Barton County","11682","-5.6610","16.8166"
"Montgomery County","11677","-4.3418","16.8094"
"Oregon County","10471","-4.2433","15.0734"
"Ralls County","10459","2.6096","15.0561"
"Iron County","10001","-5.5797","14.3968"
"Howard County","9885","-2.5244","14.2298"
"Hickory County","9716","0.7257","13.9865"
"Lewis County","9650","-5.4848","13.8915"
"Grundy County","9600","-6.3689","13.8195"
"St. Clair County","9413","-4.1739","13.5503"
"Ozark County","9382","-3.7349","13.5057"
"Caldwell County","8918","-5.4094","12.8378"
"Monroe County","8660","-1.4341","12.4664"
"Carroll County","8585","-7.5092","12.3584"
"Maries County","8551","-6.6688","12.3095"
"Harrison County","8268","-7.7952","11.9021"
"Daviess County","8166","-3.3495","11.7552"
"Shannon County","8120","-3.8257","11.6890"
"Dade County","7555","-3.6229","10.8757"
"Chariton County","7364","-5.9635","10.6007"
"Clark County","6725","-5.7463","9.6809"
"Gentry County","6517","-3.4519","9.3814"
"Reynolds County","6246","-6.4410","8.9913"
"Sullivan County","5801","-13.8934","8.3507"
"Shelby County","5796","-8.9395","8.3435"
"Carter County","5780","-8.1665","8.3205"
"Atchison County","5063","-10.4844","7.2884"
"Scotland County","4830","-0.2066","6.9529"
"Schuyler County","4792","7.9036","6.8982"
"Putnam County","4592","-7.6799","6.6103"
"Holt County","4385","-10.7833","6.3124"
"Knox County","3947","-4.3152","5.6818"
"Mercer County","3599","-4.5358","5.1809"
"Worth County","1987","-7.6673","2.8604"
