"CTYNAME","pop2021","GrowthRate","popDensity"
"Hinds County","223872","-8.8914","304.5952"
"Harrison County","211672","12.6760","287.9962"
"DeSoto County","190971","18.0451","259.8309"
"Rankin County","157313","10.3835","214.0365"
"Jackson County","144597","3.6768","196.7354"
"Madison County","107520","12.5416","146.2893"
"Lee County","85756","3.4701","116.6777"
"Forrest County","74867","-0.0987","101.8624"
"Lauderdale County","71899","-10.5689","97.8242"
"Jones County","67902","0.1371","92.3859"
"Lamar County","64755","15.4196","88.1042"
"Lowndes County","58265","-2.5604","79.2741"
"Pearl River County","55959","0.4776","76.1366"
"Lafayette County","54973","15.5672","74.7950"
"Oktibbeha County","50263","5.3224","68.3867"
"Hancock County","48340","9.6419","65.7703"
"Warren County","43957","-9.9869","59.8069"
"Washington County","41655","-18.4786","56.6749"
"Pike County","39104","-3.3061","53.2040"
"Alcorn County","37239","0.3557","50.6665"
"Marshall County","35010","-5.5367","47.6338"
"Monroe County","34670","-6.0993","47.1712"
"Panola County","34264","-1.0855","46.6188"
"Lincoln County","34039","-2.4559","46.3127"
"Pontotoc County","32760","9.0292","44.5725"
"Yazoo County","30884","9.7746","42.0201"
"Adams County","29991","-7.9296","40.8051"
"Bolivar County","29654","-13.0534","40.3466"
"Union County","29215","7.6019","39.7493"
"Neshoba County","29052","-2.1653","39.5275"
"Tate County","28269","-2.4770","38.4622"
"Scott County","27734","-2.1211","37.7343"
"Copiah County","27395","-6.9274","37.2730"
"Leflore County","27317","-15.7351","37.1669"
"Simpson County","26540","-3.5821","36.1097"
"George County","25280","11.5868","34.3954"
"Prentiss County","25202","-0.0912","34.2893"
"Marion County","24215","-10.2882","32.9464"
"Itawamba County","23248","-0.7302","31.6307"
"Sunflower County","22908","-20.9551","31.1681"
"Leake County","22776","-4.0526","30.9885"
"Tippah County","21967","-0.9782","29.8878"
"Coahoma County","21162","-18.9382","28.7925"
"Newton County","20344","-6.0714","27.6796"
"Grenada County","20306","-7.0025","27.6279"
"Wayne County","19957","-3.9236","27.1530"
"Tishomingo County","19383","-1.2532","26.3721"
"Clay County","19140","-6.9066","26.0415"
"Stone County","19014","6.1819","25.8700"
"Covington County","18258","-6.7375","24.8414"
"Attala County","17866","-8.3090","24.3081"
"Winston County","17537","-8.6757","23.8604"
"Chickasaw County","17109","-1.8979","23.2781"
"Jasper County","16299","-4.2249","22.1761"
"Holmes County","16142","-16.8153","21.9624"
"Smith County","15690","-4.8976","21.3475"
"Clarke County","15453","-7.6164","21.0250"
"Calhoun County","14219","-5.0040","19.3461"
"Walthall County","13986","-9.1582","19.0290"
"Tallahatchie County","13505","-11.9565","18.3746"
"Lawrence County","12862","-0.5105","17.4997"
"Greene County","12766","-11.2794","17.3691"
"Amite County","12237","-6.8580","16.6494"
"Perry County","12083","-1.2343","16.4399"
"Yalobusha County","11602","-8.1102","15.7854"
"Jefferson Davis County","10954","-12.1008","14.9038"
"Noxubee County","10151","-11.5921","13.8112"
"Carroll County","10001","-5.6687","13.6071"
"Kemper County","9760","-6.5939","13.2792"
"Webster County","9491","-7.5672","12.9132"
"Montgomery County","9337","-14.3237","12.7037"
"Tunica County","9052","-15.9127","12.3159"
"Claiborne County","8820","-7.9428","12.0003"
"Wilkinson County","8328","-15.5632","11.3309"
"Benton County","8291","-4.6354","11.2805"
"Choctaw County","8100","-5.5063","11.0207"
"Humphreys County","7680","-17.7202","10.4492"
"Franklin County","7623","-6.0049","10.3717"
"Jefferson County","6784","-12.1357","9.2302"
"Quitman County","6266","-23.1920","8.5254"
"Sharkey County","4213","-13.7740","5.7321"
"Issaquena County","1367","-1.3709","1.8599"
