"CTYNAME","pop2021","GrowthRate","popDensity"
"Beaverhead County","9535","3.0254","3.5338"
"Big Horn County","13227","2.4475","4.9021"
"Blaine County","6495","-0.1230","2.4071"
"Broadwater County","6567","16.5809","2.4338"
"Carbon County","10793","7.2543","4.0000"
"Carter County","1296","11.8205","0.4803"
"Cascade County","80722","-0.9631","29.9167"
"Chouteau County","5425","-6.6265","2.0106"
"Custer County","11022","-5.7304","4.0849"
"Daniels County","1612","-7.8330","0.5974"
"Dawson County","8479","-5.2626","3.1424"
"Deer Lodge County","9162","-1.3884","3.3956"
"Fallon County","2714","-6.0575","1.0058"
"Fergus County","10916","-5.7747","4.0456"
"Flathead County","107384","18.1810","39.7981"
"Gallatin County","119938","33.7787","44.4508"
"Garfield County","1260","5.7047","0.4670"
"Glacier County","13603","1.3561","5.0415"
"Golden Valley County","819","-6.8259","0.3035"
"Granite County","3395","10.4065","1.2582"
"Hill County","16768","3.8073","6.2145"
"Jefferson County","12475","9.3627","4.6234"
"Judith Basin County","2129","2.7014","0.7890"
"Lake County","30934","7.4508","11.4646"
"Lewis and Clark County","71052","11.7574","26.3329"
"Liberty County","2179","-7.2371","0.8076"
"Lincoln County","20346","3.3107","7.5405"
"McCone County","1654","-5.2149","0.6130"
"Madison County","8740","13.5655","3.2392"
"Meagher County","1872","-0.3195","0.6938"
"Mineral County","4577","8.2289","1.6963"
"Missoula County","121520","11.0106","45.0371"
"Musselshell County","4635","1.7563","1.7178"
"Park County","16522","5.9374","6.1233"
"Petroleum County","437","-10.6339","0.1620"
"Phillips County","3742","-11.9944","1.3868"
"Pondera County","5813","-5.6331","2.1544"
"Powder River County","1606","-7.6481","0.5952"
"Powell County","6764","-3.6330","2.5068"
"Prairie County","1091","-7.7768","0.4043"
"Ravalli County","45086","11.8093","16.7095"
"Richland County","10699","9.6321","3.9652"
"Roosevelt County","10874","4.1272","4.0301"
"Rosebud County","8731","-5.5291","3.2358"
"Sanders County","12645","10.9697","4.6864"
"Sheridan County","3155","-6.3242","1.1693"
"Silver Bow County","35267","3.0295","13.0705"
"Stillwater County","9960","9.2824","3.6913"
"Sweet Grass County","3805","5.1395","1.4102"
"Teton County","6207","2.1897","2.3004"
"Toole County","4538","-15.0664","1.6818"
"Treasure County","742","3.3426","0.2750"
"Valley County","7376","-0.0271","2.7337"
"Wheatland County","2010","-6.7718","0.7449"
"Wibaux County","847","-15.9722","0.3139"
"Yellowstone County","163842","10.4101","60.7222"
