"CTYNAME","pop2021","GrowthRate","popDensity"
"Wake County","1152740","27.1119","2444.4944"
"Mecklenburg County","1143570","23.8646","2425.0486"
"Guilford County","546308","11.5784","1158.4979"
"Forsyth County","388453","10.5526","823.7514"
"Cumberland County","339667","3.8112","720.2961"
"Durham County","330506","21.7975","700.8693"
"Buncombe County","265055","11.0234","562.0742"
"Union County","247917","22.6650","525.7315"
"New Hanover County","238907","17.5238","506.6249"
"Gaston County","228327","10.7770","484.1890"
"Cabarrus County","226165","26.6591","479.6043"
"Johnston County","222633","31.2091","472.1144"
"Onslow County","199984","7.0051","424.0850"
"Iredell County","188754","18.1352","400.2707"
"Pitt County","183076","8.4169","388.2300"
"Alamance County","175499","15.8937","372.1623"
"Davidson County","170111","4.4651","360.7365"
"Catawba County","161279","4.2325","342.0074"
"Brunswick County","154700","43.1493","328.0560"
"Orange County","149468","11.5591","316.9611"
"Randolph County","144503","1.7734","306.4323"
"Rowan County","144008","4.1039","305.3826"
"Harnett County","139256","20.3044","295.3055"
"Robeson County","128107","-4.7482","271.6630"
"Wayne County","122919","0.0269","260.6614"
"Henderson County","119251","11.5632","252.8830"
"Moore County","105030","18.5520","222.7261"
"Craven County","101741","-2.3327","215.7514"
"Cleveland County","98803","0.9048","209.5211"
"Nash County","94706","-1.1275","200.8330"
"Rockingham County","91796","-1.9912","194.6621"
"Burke County","90645","0.0718","192.2213"
"Lincoln County","90149","15.3774","191.1695"
"Wilson County","82619","1.6299","175.2014"
"Caldwell County","82482","-0.6504","174.9109"
"Chatham County","77156","20.8489","163.6166"
"Franklin County","73805","21.3200","156.5105"
"Surry County","71431","-3.1772","151.4762"
"Carteret County","69543","4.2624","147.4725"
"Wilkes County","68110","-1.6661","144.4337"
"Rutherford County","67537","-0.2997","143.2186"
"Pender County","65146","24.2888","138.1483"
"Stanly County","64058","5.7429","135.8411"
"Sampson County","63903","0.5840","135.5124"
"Haywood County","63171","7.1930","133.9601"
"Lee County","62921","8.7150","133.4299"
"Granville County","61371","6.4120","130.1430"
"Duplin County","58241","-0.7244","123.5056"
"Watauga County","56463","10.7726","119.7351"
"Hoke County","56312","18.5616","119.4149"
"Lenoir County","55867","-6.0869","118.4713"
"Columbus County","54886","-5.3559","116.3910"
"Edgecombe County","50448","-10.8992","106.9798"
"Halifax County","48762","-10.4792","103.4044"
"Beaufort County","46870","-1.9907","99.3923"
"McDowell County","46338","2.7405","98.2641"
"Stokes County","45751","-3.3647","97.0193"
"Richmond County","44711","-4.1257","94.8139"
"Jackson County","44614","10.5182","94.6082"
"Vance County","44335","-2.1065","94.0166"
"Davie County","43412","5.2310","92.0593"
"Pasquotank County","40306","-0.7877","85.4727"
"Person County","39598","0.4745","83.9713"
"Yadkin County","38039","-1.0252","80.6653"
"Alexander County","37829","1.6007","80.2200"
"Dare County","37813","11.2736","80.1861"
"Macon County","37026","9.0315","78.5171"
"Scotland County","34967","-3.0364","74.1508"
"Transylvania County","34809","5.2108","73.8158"
"Bladen County","31864","-9.4284","67.5706"
"Currituck County","29257","23.5828","62.0422"
"Cherokee County","29098","6.0616","61.7051"
"Ashe County","27411","0.6721","58.1276"
"Montgomery County","27365","-1.3127","58.0301"
"Anson County","24398","-9.1390","51.7383"
"Hertford County","23275","-6.0128","49.3568"
"Caswell County","22544","-5.0779","47.8067"
"Martin County","22000","-10.2261","46.6531"
"Madison County","21935","5.5735","46.5152"
"Greene County","20995","-1.2372","44.5219"
"Polk County","20836","1.7631","44.1847"
"Warren County","19555","-6.8233","41.4682"
"Northampton County","19053","-13.5487","40.4037"
"Bertie County","18629","-12.3135","39.5046"
"Yancey County","18461","3.6844","39.1483"
"Avery County","17615","-1.0338","37.3543"
"Mitchell County","14900","-3.9453","31.5969"
"Swain County","14315","2.2062","30.3563"
"Chowan County","13699","-7.0498","29.0500"
"Perquimans County","13627","1.0905","28.8973"
"Pamlico County","12912","-1.5028","27.3811"
"Gates County","11560","-4.9733","24.5141"
"Clay County","11445","7.8903","24.2702"
"Camden County","11249","12.3889","23.8546"
"Washington County","11202","-14.6124","23.7549"
"Alleghany County","11135","-0.0180","23.6128"
"Jones County","9031","-10.9632","19.1511"
"Graham County","8401","-5.2554","17.8151"
"Hyde County","4759","-18.1036","10.0919"
"Tyrrell County","3818","-13.5221","8.0964"
