"CTYNAME","pop2021","GrowthRate","popDensity"
"Douglas County","581199","12.0764","1010.1299"
"Lancaster County","324216","13.2981","563.4908"
"Sarpy County","193464","21.1270","336.2425"
"Hall County","61487","4.5608","106.8650"
"Buffalo County","50273","8.8749","87.3750"
"Dodge County","36245","-1.1671","62.9942"
"Scotts Bluff County","35004","-5.5401","60.8373"
"Madison County","34919","-0.1201","60.6896"
"Lincoln County","34446","-4.9766","59.8675"
"Platte County","33836","4.7392","58.8073"
"Adams County","31061","-0.8523","53.9843"
"Cass County","26366","4.4653","45.8244"
"Dawson County","23297","-4.1749","40.4904"
"Saunders County","22186","6.3108","38.5595"
"Gage County","21549","-3.2332","37.4524"
"Washington County","20953","5.1805","36.4165"
"Dakota County","20074","-4.5640","34.8888"
"Seward County","17306","3.0180","30.0780"
"Otoe County","16070","2.0447","27.9298"
"Saline County","14000","-1.5610","24.3321"
"York County","13541","-0.9364","23.5344"
"Box Butte County","10883","-3.4767","18.9148"
"Red Willow County","10762","-2.6856","18.7045"
"Custer County","10671","-2.1458","18.5463"
"Colfax County","10659","1.1290","18.5255"
"Holt County","9905","-5.0700","17.2150"
"Wayne County","9519","-0.9366","16.5441"
"Hamilton County","9452","3.5609","16.4277"
"Phelps County","9090","-1.0127","15.7985"
"Cuming County","8668","-5.3712","15.0651"
"Dawes County","8357","-8.8460","14.5246"
"Cedar County","8300","-5.8850","14.4255"
"Knox County","8186","-5.6586","14.2274"
"Cheyenne County","8166","-18.0778","14.1926"
"Keith County","8096","-3.1231","14.0709"
"Butler County","7962","-4.9200","13.8380"
"Merrick County","7799","-0.6750","13.5547"
"Richardson County","7719","-7.7998","13.4157"
"Pierce County","7154","-1.4601","12.4337"
"Thurston County","7124","2.2241","12.3816"
"Nemaha County","7002","-3.2606","12.1695"
"Jefferson County","6942","-7.7107","12.0653"
"Howard County","6421","2.2615","11.1598"
"Kearney County","6407","-1.0807","11.1354"
"Burt County","6405","-6.3870","11.1320"
"Antelope County","6278","-6.0039","10.9112"
"Clay County","6205","-5.0643","10.7844"
"Stanton County","5820","-5.2426","10.1152"
"Cherry County","5541","-2.6870","9.6303"
"Dixon County","5508","-8.0160","9.5730"
"Sheridan County","5360","-1.5430","9.3157"
"Fillmore County","5316","-9.4532","9.2393"
"Polk County","5159","-4.3567","8.9664"
"Boone County","5094","-7.5667","8.8534"
"Johnson County","4983","-4.7774","8.6605"
"Thayer County","4931","-5.8071","8.5701"
"Furnas County","4626","-6.4510","8.0400"
"Morrill County","4578","-9.1486","7.9566"
"Valley County","4080","-4.3376","7.0911"
"Nuckolls County","4030","-10.7222","7.0042"
"Chase County","3898","-1.7146","6.7748"
"Kimball County","3740","-2.4517","6.5002"
"Nance County","3545","-5.2139","6.1612"
"Webster County","3393","-10.9215","5.8971"
"Harlan County","3368","-1.5780","5.8536"
"Brown County","2931","-7.0998","5.0941"
"Sherman County","2915","-7.8698","5.0663"
"Franklin County","2911","-10.2651","5.0593"
"Perkins County","2869","-3.6602","4.9864"
"Hitchcock County","2684","-7.3524","4.6648"
"Frontier County","2681","-2.8623","4.6596"
"Pawnee County","2593","-6.7602","4.5067"
"Greeley County","2358","-7.3841","4.0982"
"Gosper County","1978","-3.0392","3.4378"
"Garfield County","1959","-3.7346","3.4048"
"Boyd County","1857","-11.7815","3.2275"
"Deuel County","1740","-9.6104","3.0241"
"Garden County","1731","-16.5783","3.0085"
"Dundy County","1551","-22.7590","2.6957"
"Rock County","1369","-10.1706","2.3793"
"Sioux County","1126","-14.1114","1.9570"
"Hayes County","932","-2.5105","1.6198"
"Keya Paha County","806","-2.1845","1.4008"
"Banner County","785","13.6035","1.3643"
"Loup County","758","20.7006","1.3174"
"Wheeler County","745","-9.6970","1.2948"
"Thomas County","738","14.0649","1.2827"
"Logan County","734","-4.9223","1.2757"
"Hooker County","694","-5.8345","1.2062"
"Grant County","555","-9.4617","0.9646"
"McPherson County","502","-6.8646","0.8725"
"Arthur County","465","0","0.8082"
"Blaine County","435","-8.9958","0.7560"
