"CTYNAME","pop2021","GrowthRate","popDensity"
"Hillsborough County","421815","5.1763","235.0355"
"Rockingham County","312733","5.9074","174.2549"
"Merrimack County","152873","4.4300","85.1809"
"Strafford County","132305","7.3904","73.7204"
"Grafton County","90256","1.2633","50.2907"
"Cheshire County","76453","-0.7851","42.5996"
"Belknap County","61619","2.5257","34.3341"
"Carroll County","49222","2.9189","27.4265"
"Sullivan County","43210","-1.2230","24.0766"
"Coos County","31717","-3.8004","17.6727"
