"CTYNAME","pop2021","GrowthRate","popDensity"
"Clark County","2347920","20.2464","476.1953"
"Washoe County","485849","15.1426","98.5379"
"Lyon County","60904","17.0218","12.3523"
"Carson City","57344","4.2978","11.6303"
"Elko County","53256","8.4909","10.8012"
"Douglas County","49737","5.7402","10.0874"
"Nye County","49197","12.2092","9.9779"
"Churchill County","25715","3.6143","5.2154"
"Humboldt County","16937","2.1286","3.4351"
"White Pine County","9660","-3.6601","1.9592"
"Pershing County","6805","1.0094","1.3802"
"Lander County","5502","-5.0561","1.1159"
"Lincoln County","5075","-5.1579","1.0293"
"Mineral County","4427","-7.5010","0.8979"
"Storey County","4407","10.2577","0.8938"
"Eureka County","2091","5.0754","0.4241"
"Esmeralda County","965","23.0867","0.1957"
