"CTYNAME","pop2021","GrowthRate","popDensity"
"Franklin County","1334870","14.4632","2919.9727"
"Cuyahoga County","1221780","-4.4058","2672.5930"
"Hamilton County","821529","2.3995","1797.0606"
"Summit County","540333","-0.2422","1181.9560"
"Montgomery County","531861","-0.6975","1163.4238"
"Lucas County","425820","-3.5371","931.4636"
"Butler County","385402","4.4161","843.0509"
"Stark County","369322","-1.6117","807.8765"
"Lorain County","311395","3.2895","681.1636"
"Warren County","239916","12.4102","524.8063"
"Lake County","230243","0.0996","503.6470"
"Mahoning County","227617","-4.5155","497.9027"
"Delaware County","217349","24.1292","475.4419"
"Clermont County","208232","5.3784","455.4988"
"Trumbull County","196844","-6.1933","430.5881"
"Medina County","181282","5.0855","396.5468"
"Licking County","179254","7.5277","392.1107"
"Greene County","171919","6.3934","376.0657"
"Portage County","162394","0.6246","355.2301"
"Fairfield County","160758","9.7946","351.6514"
"Clark County","133193","-3.6746","291.3542"
"Wood County","131569","4.4613","287.8017"
"Richland County","121488","-2.1536","265.7500"
"Wayne County","115550","1.0105","252.7608"
"Miami County","108877","6.2349","238.1639"
"Allen County","101603","-4.4707","222.2523"
"Columbiana County","100703","-6.6614","220.2836"
"Ashtabula County","96549","-4.7868","211.1969"
"Geauga County","93057","-0.3555","203.5583"
"Tuscarawas County","91803","-0.7996","200.8152"
"Muskingum County","86383","0.1960","188.9592"
"Ross County","76230","-2.3919","166.7500"
"Hancock County","75509","1.0979","165.1728"
"Scioto County","74982","-5.8772","164.0200"
"Erie County","73772","-4.1648","161.3732"
"Belmont County","65952","-6.2289","144.2673"
"Athens County","64943","-0.3529","142.0601"
"Jefferson County","64427","-7.5255","140.9314"
"Marion County","64425","-3.0591","140.9270"
"Knox County","63166","3.3983","138.1730"
"Union County","61400","17.0326","134.3099"
"Washington County","59511","-3.5681","130.1778"
"Pickaway County","59217","6.2379","129.5347"
"Lawrence County","58855","-5.7174","128.7429"
"Sandusky County","58074","-4.6169","127.0345"
"Huron County","58070","-2.5017","127.0257"
"Seneca County","55146","-2.5999","120.6296"
"Ashland County","53040","-0.5270","116.0228"
"Darke County","50741","-4.1954","110.9938"
"Shelby County","48526","-1.6677","106.1486"
"Logan County","46352","1.3314","101.3931"
"Auglaize County","45496","-0.8759","99.5206"
"Madison County","45415","4.5609","99.3434"
"Holmes County","44042","3.6941","96.3400"
"Highland County","43379","-0.5548","94.8898"
"Brown County","43156","-3.8049","94.4020"
"Fulton County","41844","-1.8415","91.5320"
"Clinton County","41734","-0.4485","91.2914"
"Mercer County","41612","2.0202","91.0245"
"Crawford County","41514","-5.1195","90.8102"
"Preble County","40624","-3.6661","88.8633"
"Ottawa County","40037","-3.1964","87.5793"
"Champaign County","39085","-2.4777","85.4968"
"Guernsey County","38603","-3.8650","84.4425"
"Defiance County","38083","-2.5562","83.3050"
"Coshocton County","36608","-0.8934","80.0785"
"Williams County","36598","-2.4366","80.0566"
"Perry County","36324","0.7964","79.4572"
"Morrow County","35758","2.7824","78.2191"
"Putnam County","33979","-1.4416","74.3277"
"Jackson County","32507","-2.2287","71.1077"
"Hardin County","31259","-2.7018","68.3778"
"Gallia County","29804","-4.0808","65.1950"
"Van Wert County","28319","-1.2518","61.9466"
"Fayette County","28269","-2.5677","61.8373"
"Hocking County","28078","-4.7493","61.4195"
"Adams County","27706","-2.9120","60.6057"
"Pike County","27452","-4.0542","60.0501"
"Henry County","26836","-4.7389","58.7026"
"Carroll County","26578","-7.8624","58.1383"
"Meigs County","22593","-4.7954","49.4212"
"Wyandot County","21480","-4.9053","46.9866"
"Paulding County","18532","-5.2411","40.5380"
"Harrison County","14786","-6.5656","32.3438"
"Noble County","14578","-0.5593","31.8888"
"Morgan County","14362","-4.4699","31.4163"
"Monroe County","13388","-8.3579","29.2857"
"Vinton County","12965","-3.2824","28.3604"
