"CTYNAME","pop2021","GrowthRate","popDensity"
"Oklahoma County","811116","12.5359","1010.5466"
"Tulsa County","659290","8.9784","821.3908"
"Cleveland County","289710","12.6904","360.9415"
"Canadian County","156066","34.1223","194.4382"
"Comanche County","121191","-3.3541","150.9885"
"Rogers County","93775","7.7663","116.8316"
"Wagoner County","83621","13.8847","104.1810"
"Payne County","81008","4.6399","100.9256"
"Pottawatomie County","72750","4.4508","90.6372"
"Creek County","71106","1.2214","88.5890"
"Muskogee County","67343","-5.3227","83.9007"
"Garfield County","60978","0.3505","75.9708"
"Grady County","56606","7.9443","70.5238"
"Washington County","50999","-0.1371","63.5382"
"Bryan County","49603","16.4937","61.7990"
"Logan County","49537","17.7882","61.7168"
"Le Flore County","49373","-2.2801","61.5124"
"Cherokee County","48757","3.4609","60.7450"
"Carter County","47907","0.1966","59.6860"
"Osage County","46647","-1.7917","58.1162"
"Delaware County","43399","4.4199","54.0696"
"Pittsburg County","43222","-5.6185","53.8491"
"Stephens County","43071","-4.4989","53.6609"
"Kay County","42726","-7.9776","53.2311"
"McClain County","41648","19.9090","51.8881"
"Sequoyah County","41537","-2.2866","51.7498"
"Mayes County","40880","-1.0505","50.9312"
"Okmulgee County","38753","-3.3157","48.2813"
"Pontotoc County","38308","1.8965","47.7269"
"Lincoln County","34957","1.7493","43.5519"
"McCurtain County","32562","-1.9335","40.5681"
"Ottawa County","30743","-3.5029","38.3018"
"Custer County","29019","5.2175","36.1540"
"Caddo County","28230","-4.9591","35.1710"
"Garvin County","27641","0.2321","34.4371"
"Jackson County","24040","-9.2316","29.9508"
"Seminole County","23734","-6.8744","29.5695"
"Beckham County","22137","0.3445","27.5799"
"Adair County","22134","-2.7333","27.5761"
"Woodward County","20009","0.0550","24.9286"
"McIntosh County","19298","-4.8000","24.0428"
"Texas County","18967","-8.8213","23.6305"
"Marshall County","17339","9.4910","21.6022"
"Pawnee County","16416","-1.0429","20.4522"
"Kingfisher County","15667","3.9960","19.5191"
"Choctaw County","14620","-4.0431","18.2146"
"Murray County","14283","5.5888","17.7948"
"Craig County","13826","-8.1939","17.2254"
"Atoka County","13684","-3.7287","17.0485"
"Hughes County","13227","-5.7234","16.4791"
"Haskell County","12609","-1.3303","15.7092"
"Okfuskee County","11817","-3.3769","14.7225"
"Johnston County","11215","1.9360","13.9725"
"Pushmataha County","10904","-5.9514","13.5850"
"Noble County","10835","-6.2959","13.4990"
"Washita County","10676","-7.5110","13.3009"
"Love County","10447","10.9966","13.0156"
"Latimer County","9869","-11.5443","12.2955"
"Nowata County","9672","-8.0958","12.0501"
"Blaine County","9379","-5.3582","11.6850"
"Kiowa County","8660","-8.2821","10.7892"
"Woods County","8593","-3.4820","10.7058"
"Major County","7633","1.5297","9.5097"
"Tillman County","7104","-11.0443","8.8507"
"Jefferson County","5794","-10.0031","7.2186"
"Alfalfa County","5576","-0.9416","6.9470"
"Greer County","5508","-11.3043","6.8623"
"Coal County","5445","-7.8836","6.7838"
"Cotton County","5358","-13.1886","6.6754"
"Beaver County","5297","-5.9315","6.5994"
"Dewey County","4811","0.0208","5.9939"
"Grant County","4357","-3.9674","5.4283"
"Ellis County","3699","-11.0390","4.6085"
"Harper County","3610","-2.2740","4.4976"
"Roger Mills County","3457","-5.2357","4.3070"
"Harmon County","2577","-11.7768","3.2106"
"Cimarron County","2081","-15.7831","2.5927"
