"CTYNAME","pop2021","GrowthRate","popDensity"
"Philadelphia County","1585010","3.7120","1784.9531"
"Allegheny County","1213570","-0.8489","1366.6573"
"Montgomery County","838897","4.7477","944.7207"
"Bucks County","629186","0.6078","708.5555"
"Delaware County","569779","1.9317","641.6545"
"Lancaster County","549234","5.5572","618.5178"
"Chester County","530795","6.1749","597.7528"
"York County","451480","3.6901","508.4325"
"Berks County","422434","2.5228","475.7225"
"Lehigh County","371236","6.0178","418.0660"
"Westmoreland County","345779","-5.2733","389.3977"
"Luzerne County","316533","-1.3910","356.4625"
"Northampton County","306727","2.9510","345.4195"
"Dauphin County","281169","4.8039","316.6374"
"Erie County","266096","-5.2361","299.6630"
"Cumberland County","257848","9.3104","290.3746"
"Lackawanna County","208484","-2.8051","234.7835"
"Washington County","206559","-0.6632","232.6156"
"Butler County","188283","2.2638","212.0342"
"Monroe County","172225","1.3989","193.9505"
"Beaver County","162623","-4.6926","183.1373"
"Centre County","161953","5.0075","182.3828"
"Franklin County","155923","4.0007","175.5921"
"Lebanon County","142701","6.7610","160.7022"
"Schuylkill County","140447","-5.2877","158.1639"
"Cambria County","127678","-11.0016","143.7841"
"Fayette County","127176","-6.7905","143.2188"
"Blair County","120481","-5.1667","135.6792"
"Lycoming County","112165","-3.4932","126.3142"
"Mercer County","107330","-7.9542","120.8693"
"Adams County","102903","1.4032","115.8838"
"Northumberland County","90369","-4.1615","101.7687"
"Lawrence County","84280","-7.4029","94.9116"
"Crawford County","83667","-5.5826","94.2213"
"Indiana County","83337","-6.2175","93.8497"
"Clearfield County","78621","-3.5858","88.5387"
"Somerset County","72597","-6.6385","81.7548"
"Columbia County","64462","-4.2966","72.5936"
"Carbon County","64196","-1.6123","72.2941"
"Armstrong County","63501","-7.9442","71.5114"
"Bradford County","59381","-5.3403","66.8717"
"Pike County","55867","-2.6012","62.9144"
"Wayne County","51293","-2.9791","57.7634"
"Venango County","49602","-9.7686","55.8591"
"Bedford County","47476","-4.4729","53.4649"
"Perry County","46508","1.2783","52.3748"
"Mifflin County","45992","-1.3915","51.7937"
"Union County","44735","-0.5911","50.3782"
"Huntingdon County","44642","-2.9395","50.2734"
"Jefferson County","43047","-4.6853","48.4772"
"Tioga County","40393","-3.7666","45.4884"
"Snyder County","40080","0.9368","45.1359"
"McKean County","39975","-7.7748","45.0177"
"Susquehanna County","39864","-8.0245","44.8927"
"Clinton County","38504","-1.9331","43.3611"
"Warren County","38471","-7.9002","43.3240"
"Clarion County","37970","-4.8919","42.7598"
"Greene County","35377","-8.3664","39.8397"
"Elk County","29510","-7.3789","33.2326"
"Wyoming County","26208","-7.1988","29.5140"
"Juniata County","24853","0.9218","27.9881"
"Montour County","18210","-0.4972","20.5071"
"Potter County","16332","-6.4283","18.3922"
"Fulton County","14540","-2.1666","16.3742"
"Forest County","7173","-6.9167","8.0778"
"Sullivan County","6046","-5.6345","6.8087"
"Cameron County","4339","-14.6034","4.8863"
