"CTYNAME","pop2021","GrowthRate","popDensity"
"Greenville County","541384","19.5908","1326.6284"
"Charleston County","421774","20.1841","1033.5314"
"Richland County","418873","8.5909","1026.4227"
"Horry County","374033","38.3903","916.5450"
"Spartanburg County","331081","16.2785","811.2938"
"Lexington County","307550","16.7806","753.6325"
"York County","295373","30.1977","723.7935"
"Berkeley County","241357","34.4757","591.4306"
"Anderson County","207090","10.6924","507.4614"
"Beaufort County","198614","21.9770","486.6915"
"Aiken County","173718","8.2005","425.6854"
"Dorchester County","166991","21.8646","409.2013"
"Florence County","138325","0.8641","338.9570"
"Pickens County","130202","9.1045","319.0521"
"Sumter County","107345","-0.2435","263.0424"
"Lancaster County","103966","35.0717","254.7623"
"Orangeburg County","84499","-8.4726","207.0596"
"Oconee County","82024","10.3244","200.9948"
"Greenwood County","71239","2.1113","174.5668"
"Laurens County","68699","3.2990","168.3427"
"Kershaw County","68049","10.2722","166.7499"
"Darlington County","66336","-3.1902","162.5523"
"Georgetown County","63576","5.3856","155.7891"
"Cherokee County","57762","4.0101","141.5423"
"Chesterfield County","45188","-3.0592","110.7304"
"Newberry County","38434","2.1936","94.1802"
"Colleton County","37679","-3.1064","92.3301"
"Clarendon County","33751","-3.4251","82.7048"
"Chester County","32124","-3.1330","78.7179"
"Jasper County","31925","27.9662","78.2303"
"Dillon County","30213","-5.8140","74.0351"
"Williamsburg County","29892","-12.9706","73.2485"
"Marion County","29859","-9.3974","73.1677"
"Edgefield County","27516","2.0510","67.4263"
"Union County","27300","-5.6343","66.8970"
"Marlboro County","25570","-11.5745","62.6577"
"Abbeville County","24407","-3.6363","59.8079"
"Fairfield County","22289","-6.5059","54.6178"
"Saluda County","20625","3.6068","50.5403"
"Barnwell County","20356","-10.0804","49.8811"
"Hampton County","18970","-9.9796","46.4848"
"Lee County","15896","-17.3031","38.9522"
"Calhoun County","14533","-3.7358","35.6122"
"Bamberg County","13654","-14.4272","33.4583"
"McCormick County","9573","-6.2298","23.4581"
"Allendale County","8216","-20.6490","20.1328"
