"CTYNAME","pop2021","GrowthRate","popDensity"
"Minnehaha County","197418","16.1590","56.8776"
"Pennington County","117425","15.9833","33.8310"
"Lincoln County","65794","45.6167","18.9557"
"Brown County","38227","4.2943","11.0135"
"Brookings County","35077","9.6191","10.1059"
"Meade County","28588","12.1802","8.2364"
"Codington County","27961","2.7525","8.0558"
"Lawrence County","26078","7.7381","7.5133"
"Yankton County","22924","2.1751","6.6046"
"Davison County","19757","1.4116","5.6921"
"Beadle County","18513","6.3599","5.3337"
"Hughes County","17212","0.8201","4.9589"
"Union County","16656","14.9403","4.7987"
"Clay County","14244","3.0084","4.1038"
"Oglala Lakota County","13869","1.7087","3.9958"
"Lake County","12281","8.8838","3.5382"
"Butte County","10781","6.2796","3.1061"
"Roberts County","10430","2.3653","3.0050"
"Todd County","10041","4.1381","2.8929"
"Custer County","9292","12.2900","2.6771"
"Charles Mix County","9214","0.6555","2.6546"
"Turner County","8308","-0.5268","2.3936"
"Hutchinson County","7261","-1.0358","2.0919"
"Grant County","6950","-5.4293","2.0023"
"Bon Homme County","6883","-2.5209","1.9830"
"Moody County","6724","3.5577","1.9372"
"Fall River County","6659","-6.3958","1.9185"
"Hamlin County","6352","7.3880","1.8301"
"Spink County","6160","-4.0648","1.7747"
"Dewey County","5826","9.3674","1.6785"
"McCook County","5556","-0.9449","1.6007"
"Brule County","5431","2.8209","1.5647"
"Walworth County","5351","-1.6722","1.5417"
"Tripp County","5341","-5.4356","1.5388"
"Day County","5258","-7.8998","1.5149"
"Kingsbury County","4965","-3.2541","1.4305"
"Marshall County","4963","6.9151","1.4299"
"Deuel County","4349","-0.0230","1.2530"
"Gregory County","4177","-2.1780","1.2034"
"Corson County","3902","-4.0570","1.1242"
"Clark County","3756","1.5684","1.0821"
"Edmunds County","3755","-7.6261","1.0818"
"Lyman County","3735","-0.6913","1.0761"
"Hanson County","3631","9.0390","1.0461"
"Jackson County","3476","13.9672","1.0015"
"Stanley County","3260","9.7274","0.9392"
"Bennett County","3149","-8.7511","0.9073"
"Hand County","3093","-9.9301","0.8911"
"Douglas County","2911","-2.7722","0.8387"
"Ziebach County","2780","-1.5581","0.8009"
"Perkins County","2779","-6.9946","0.8007"
"Aurora County","2683","-0.6664","0.7730"
"McPherson County","2335","-4.8880","0.6727"
"Faulk County","2267","-4.2652","0.6531"
"Sanborn County","2240","-4.8428","0.6454"
"Miner County","2240","-5.6445","0.6454"
"Mellette County","2115","4.3929","0.6093"
"Potter County","2047","-12.9307","0.5898"
"Jerauld County","1987","-4.9737","0.5725"
"Haakon County","1893","-1.9679","0.5454"
"Buffalo County","1832","-5.2740","0.5278"
"Sully County","1419","3.0501","0.4088"
"Campbell County","1396","-5.0986","0.4022"
"Harding County","1390","11.5570","0.4005"
"Hyde County","1361","-4.2897","0.3921"
"Jones County","853","-15.6281","0.2458"
