"CTYNAME","pop2021","GrowthRate","popDensity"
"Shelby County","938768","1.1116","2380.8278"
"Davidson County","701400","11.7331","1778.8342"
"Knox County","478423","10.5061","1213.3379"
"Hamilton County","374826","11.1537","950.6035"
"Rutherford County","347561","31.7977","881.4562"
"Williamson County","251280","36.4592","637.2761"
"Montgomery County","216355","24.9459","548.7021"
"Sumner County","198869","23.3572","504.3555"
"Sullivan County","159846","1.9758","405.3885"
"Wilson County","152063","32.6011","385.6499"
"Blount County","136602","10.8791","346.4390"
"Washington County","130803","6.0129","331.7320"
"Bradley County","110230","11.2502","279.5564"
"Maury County","100615","23.9528","255.1717"
"Sevier County","98960","10.0497","250.9744"
"Madison County","98746","0.5059","250.4316"
"Putnam County","83473","15.0574","211.6975"
"Anderson County","78360","4.3437","198.7303"
"Robertson County","73081","10.1912","185.3421"
"Greene County","68879","0.0654","174.6854"
"Hamblen County","65544","4.8536","166.2274"
"Cumberland County","62084","10.4835","157.4524"
"Tipton County","61645","0.9498","156.3391"
"Coffee County","57806","9.5433","146.6029"
"Hawkins County","56932","0.1090","144.3864"
"Carter County","56339","-1.7492","142.8824"
"Loudon County","56040","15.0482","142.1241"
"Jefferson County","55461","7.2456","140.6557"
"Dickson County","54952","10.6030","139.3648"
"McMinn County","54710","4.8566","138.7511"
"Roane County","53630","-0.9950","136.0121"
"Bedford County","50847","12.7978","128.9541"
"Gibson County","49057","-1.3553","124.4144"
"Monroe County","47097","5.5750","119.4436"
"Lawrence County","44884","6.9507","113.8312"
"Franklin County","42754","4.3824","108.4292"
"Fayette County","42287","10.0450","107.2449"
"Warren County","42179","5.8232","106.9710"
"Cheatham County","40997","4.7686","103.9733"
"Campbell County","39936","-1.9615","101.2825"
"Dyer County","36905","-3.6876","93.5955"
"Cocke County","36296","1.8406","92.0510"
"Marshall County","35513","15.7265","90.0652"
"Lincoln County","34720","4.0081","88.0541"
"Rhea County","33679","5.7160","85.4140"
"Weakley County","33158","-5.3818","84.0926"
"Henry County","32363","-0.1080","82.0764"
"Claiborne County","32177","-0.1180","81.6047"
"Obion County","29659","-6.7972","75.2188"
"Marion County","29525","4.6244","74.8789"
"Giles County","29500","0.3197","74.8155"
"Henderson County","28385","2.1484","71.9877"
"White County","27863","7.8790","70.6639"
"Carroll County","27351","-3.8764","69.3654"
"Hardin County","25570","-1.8426","64.8486"
"Hickman County","25520","3.5420","64.7218"
"McNairy County","25422","-2.4707","64.4732"
"Macon County","25228","13.4506","63.9812"
"Lauderdale County","24905","-10.1584","63.1621"
"Hardeman County","24598","-9.4630","62.3835"
"Grainger County","23686","4.2472","60.0705"
"Overton County","22587","2.2406","57.2833"
"Scott County","22148","-0.3554","56.1700"
"DeKalb County","21204","13.4207","53.7759"
"Morgan County","21141","-3.9875","53.6161"
"Union County","20538","7.4388","52.0868"
"Smith County","20513","7.2519","52.0234"
"Fentress County","18925","5.5906","47.9961"
"Humphreys County","18644","0.4634","47.2834"
"Unicoi County","18005","-1.5259","45.6628"
"Johnson County","17816","-2.5703","45.1835"
"Chester County","17401","1.2039","44.1310"
"Haywood County","17218","-8.4733","43.6669"
"Wayne County","16749","-1.3895","42.4775"
"Polk County","16660","-0.9100","42.2517"
"Benton County","15988","-3.1676","40.5475"
"Bledsoe County","15426","19.7299","39.1222"
"Sequatchie County","15296","8.2673","38.7925"
"Cannon County","15154","9.8355","38.4324"
"Crockett County","14098","-3.3589","35.7542"
"Stewart County","13907","4.1879","35.2698"
"Grundy County","13585","-1.0200","34.4532"
"Meigs County","12672","7.4627","32.1377"
"Lewis County","12656","3.9678","32.0971"
"Jackson County","11804","1.5398","29.9364"
"Trousdale County","11786","49.6825","29.8907"
"Decatur County","11591","-1.0754","29.3962"
"Houston County","8135","-3.7392","20.6313"
"Perry County","8128","2.3678","20.6136"
"Clay County","7491","-4.5003","18.9981"
"Hancock County","6738","-0.8826","17.0884"
"Moore County","6550","3.4755","16.6116"
"Lake County","6234","-20.3526","15.8102"
"Van Buren County","6090","9.3554","15.4450"
"Pickett County","5038","-0.8658","12.7770"
