"CTYNAME","pop2021","GrowthRate","popDensity"
"Harris County","4779880","16.3648","18961.4343"
"Dallas County","2647850","11.5829","10503.8273"
"Tarrant County","2144650","18.0013","8507.6697"
"Bexar County","2048290","18.8903","8125.4166"
"Travis County","1328720","28.9393","5270.9350"
"Collin County","1095580","39.1011","4346.0857"
"Denton County","944139","41.6010","3745.3304"
"Hidalgo County","881525","13.1395","3496.9452"
"Fort Bend County","858902","45.5142","3407.2014"
"El Paso County","844064","5.0385","3348.3401"
"Montgomery County","642633","39.9438","2549.2781"
"Williamson County","638727","49.8350","2533.7833"
"Cameron County","425211","4.3130","1686.7809"
"Brazoria County","385018","22.4503","1527.3382"
"Bell County","377978","20.8180","1499.4111"
"Nueces County","362830","6.6379","1439.3201"
"Galveston County","350701","19.9043","1391.2052"
"Lubbock County","316453","12.8976","1255.3459"
"Webb County","279716","11.2766","1109.6129"
"McLennan County","261477","10.8343","1037.2601"
"Jefferson County","248227","-1.6748","984.6984"
"Hays County","245161","54.9553","972.5358"
"Smith County","238755","13.4724","947.1236"
"Brazos County","236071","20.6500","936.4764"
"Ellis County","196466","30.6577","779.3663"
"Midland County","185486","35.4169","735.8094"
"Johnson County","185209","22.4409","734.7106"
"Ector County","174749","27.4842","693.2165"
"Guadalupe County","173989","31.2263","690.2016"
"Comal County","172345","57.6720","683.6800"
"Parker County","152494","29.9857","604.9325"
"Kaufman County","151904","46.2415","602.5921"
"Randall County","141757","16.9815","562.3396"
"Grayson County","141062","16.5474","559.5826"
"Taylor County","139514","5.8247","553.4418"
"Wichita County","133076","0.9727","527.9028"
"Gregg County","125333","2.7454","497.1868"
"Tom Green County","121572","9.8430","482.2672"
"Potter County","114823","-5.3950","455.4944"
"Rockwall County","113653","44.0122","450.8531"
"Hunt County","102570","18.7634","406.8877"
"Liberty County","93053","22.6657","369.1344"
"Bastrop County","92979","25.0205","368.8409"
"Victoria County","92496","6.4604","366.9249"
"Bowie County","92359","-0.3012","366.3814"
"Angelina County","86525","-0.4373","343.2383"
"Henderson County","84005","6.7883","333.2417"
