"CTYNAME","pop2021","GrowthRate","popDensity"
"Fairfax County","1145670","5.4789","2548.7148"
"Prince William County","478535","17.8167","1064.5729"
"Virginia Beach City County","450224","2.5897","1001.5908"
"Loudoun County","429570","36.1648","955.6429"
"Chesterfield County","361844","14.0751","804.9763"
"Henrico County","334468","8.8575","744.0742"
"Chesapeake City","249787","11.7335","555.6886"
"Norfolk City","241056","-0.7996","536.2652"
"Arlington County","238476","13.9425","530.5256"
"Richmond City","232866","13.9813","518.0453"
"Newport News City","180629","-0.1432","401.8363"
"Alexandria City","160146","13.7974","356.2688"
"Stafford County","158998","22.4644","353.7149"
"Spotsylvania County","140623","14.3500","312.8370"
"Hampton","134870","-1.8521","300.0385"
"Albemarle County","111236","12.1285","247.4612"
"Hanover County","109526","9.6334","243.6570"
"Roanoke","99411","2.7823","221.1547"
"Montgomery County","98541","4.2133","219.2192"
"Roanoke County","94386","2.1482","209.9758"
"Suffolk","94374","11.2730","209.9491"
"Portsmouth","93694","-1.8407","208.4364"
"Frederick County","91593","16.6047","203.7624"
"Lynchburg","83886","11.0367","186.6170"
"Rockingham County","83322","9.0488","185.3623"
"Bedford County","79227","5.5867","176.2523"
"James City County","77503","14.5460","172.4170"
"Augusta County","75604","2.7452","168.1924"
"Fauquier County","72382","10.6082","161.0246"
"York County","68888","5.6208","153.2517"
"Pittsylvania County","59260","-6.8034","131.8328"
"Franklin County","55744","-0.7690","124.0109"
"Campbell County","54381","-0.9472","120.9787"
"Culpeper County","54225","15.7714","120.6316"
"Washington County","53086","-3.4221","118.0978"
"Harrisonburg","52072","6.2846","115.8420"
"Henry County","49571","-8.4308","110.2781"
"Charlottesville","46786","7.6505","104.0825"
"Shenandoah County","43902","4.3993","97.6666"
"Manassas","41163","7.7227","91.5733"
"Warren County","40480","7.8949","90.0538"
"Tazewell County","39669","-12.0753","88.2496"
"Louisa County","39205","17.7009","87.2174"
"Prince George County","39073","9.6263","86.9237"
"Danville","38834","-9.5285","86.3921"
"Orange County","37957","13.0413","84.4410"
"Isle of Wight County","37383","5.8529","83.1641"
"Gloucester County","37362","1.1424","83.1174"
"Wise County","36399","-12.4435","80.9750"
"Pulaski County","33961","-2.4894","75.5513"
