"CTYNAME","pop2021","GrowthRate","popDensity"
"Chittenden County","164180","4.7273","238.9693"
"Washington County","59069","-0.8410","85.9768"
"Rutland County","57381","-6.8279","83.5199"
"Windsor County","54778","-3.2191","79.7311"
"Franklin County","49690","3.9083","72.3254"
"Windham County","41396","-6.9795","60.2532"
"Addison County","36585","-0.6463","53.2506"
"Bennington County","35370","-4.6065","51.4822"
"Caledonia County","29507","-5.3231","42.9484"
"Orange County","28900","-0.1520","42.0649"
"Orleans County","27393","0.5432","39.8714"
"Lamoille County","25496","4.0016","37.1102"
"Grand Isle County","7485","7.7288","10.8947"
"Essex County","6021","-4.6103","8.7638"
