"CTYNAME","pop2021","GrowthRate","popDensity"
"Milwaukee County","943240","-0.5320","750.2051"
"Dane County","556189","13.6894","442.3644"
"Waukesha County","407550","4.4925","324.1445"
"Brown County","267296","7.5742","212.5936"
"Racine County","196219","0.4161","156.0626"
"Outagamie County","189897","7.3422","151.0344"
"Winnebago County","173965","4.1251","138.3629"
"Kenosha County","170831","2.5236","135.8703"
"Rock County","164314","2.5296","130.6870"
"Washington County","137212","3.9579","109.1314"
"Marathon County","136234","1.6292","108.3536"
"La Crosse County","117966","2.6934","93.8242"
"Sheboygan County","115554","0.0260","91.9058"
"Eau Claire County","105228","6.2727","83.6930"
"Walworth County","104504","2.2574","83.1172"
"Fond du Lac County","104207","2.5902","82.8809"
"St. Croix County","92685","9.8203","73.7169"
"Ozaukee County","89545","3.6676","71.2195"
"Dodge County","87851","-0.9884","69.8722"
"Jefferson County","84209","0.5793","66.9756"
"Manitowoc County","78913","-2.9730","62.7634"
"Wood County","73089","-2.3070","58.1313"
"Portage County","70616","0.8454","56.1644"
"Chippewa County","65756","4.9778","52.2990"
"Sauk County","64690","4.2546","51.4511"
"Columbia County","57930","1.8818","46.0746"
"Grant County","51429","0.3826","40.9040"
"Waupaca County","50710","-3.2233","40.3322"
"Calumet County","50003","1.9637","39.7698"
"Monroe County","46477","3.7132","36.9654"
"Dunn County","45922","4.6369","36.5240"
"Barron County","45432","-0.8338","36.1343"
"Polk County","44213","0.1291","35.1648"
"Douglas County","43164","-2.1979","34.3304"
"Pierce County","43078","4.8407","34.2620"
"Shawano County","41155","-1.8694","32.7326"
"Marinette County","40246","-3.4011","32.0096"
"Oconto County","38142","1.1268","30.3362"
"Green County","37032","0.4748","29.4534"
"Oneida County","35897","-0.1446","28.5506"
"Clark County","34912","0.6603","27.7672"
"Vernon County","30922","3.8836","24.5938"
"Trempealeau County","29959","3.8584","23.8279"
"Door County","27826","0.2739","22.1314"
"Lincoln County","27433","-4.6770","21.8188"
"Juneau County","26875","0.7611","21.3750"
"Waushara County","24795","1.0968","19.7207"
"Iowa County","23590","-0.4221","18.7623"
"Vilas County","22729","5.9380","18.0775"
"Jackson County","20985","2.5409","16.6904"
"Kewaunee County","20512","-0.2383","16.3142"
"Taylor County","20301","-1.7424","16.1464"
"Adams County","19978","-4.3108","15.8895"
"Langlade County","19095","-4.3480","15.1872"
"Green Lake County","19041","0.1367","15.1442"
"Richland County","16962","-5.8921","13.4907"
"Sawyer County","16746","1.1904","13.3189"
"Lafayette County","16651","-0.9282","13.2434"
"Marquette County","15886","3.3236","12.6349"
"Crawford County","15863","-4.6294","12.6166"
"Ashland County","15512","-3.9088","12.3375"
"Burnett County","15494","0.4148","12.3231"
"Washburn County","15486","-2.7872","12.3168"
"Bayfield County","15056","0.3733","11.9748"
"Rusk County","14314","-2.8308","11.3846"
"Price County","13339","-5.3770","10.6092"
"Buffalo County","12865","-5.0624","10.2322"
"Forest County","9058","-2.5393","7.2043"
"Pepin County","7253","-2.9309","5.7687"
"Iron County","5687","-4.0007","4.5232"
"Menominee County","4478","4.8958","3.5616"
"Florence County","4297","-2.2965","3.4176"
